,lead_actor
314,Iola Evans
315,Seo In-guk
316,Alban Lenoir
317,Henry Thomas
318,Jonathan Rhys Meyers
319,Ekapol Chanthawong
320,Vin Diesel
321,Roma Downey
322,Yoshitsugu Matsuoka
323,Chiaki Kobayashi
324,Kaya Scodelario
325,Yumiri Hanamori
326,Christian Bale
327,Matthew Broderick
328,Matthew Broderick
329,Robert Downey Jr.
330,Emilia Clarke
331,Jacob Tremblay
332,Johnny Depp
333,Ralph Fiennes
334,Ray Romano
335,Kaori Nazuka
336,Jodi Benson
337,Mike Myers
338,Carrie Coon
339,James Marsden
340,Yuki Kaji
341,Masako Nozawa
342,Chris Pratt
343,Owen Wilson
344,Anika Noni Rose
345,Anna-Maria Sieklucka
346,Naomi Krauss
347,Piotr Żurawski
348,Tamara Rocca
349,Jason Bateman
350,Robert Miano
351,Piotr Witkowski
352,Ryan Reynolds
353,Michelle Renaud
354,Brady Noon
355,Robert Downey Jr.
356,Patrick Wilson
357,Dwayne Johnson
358,Paige Joustra
359,Dylan O'Brien
360,Mia Wasikowska
361,Ralph Fiennes
362,Ian McKellen
363,Anouck Hautbois
364,Rooney Mara
365,David Thorpe
366,Dwayne Johnson
367,Alexis Herrera Alquijay
368,Vin Diesel
369,Mia Goth
370,Nicolas Cage
371,Yuko Sanpei
372,Chris Hemsworth
373,Margot Robbie
374,Russell Crowe
375,Yuki Kaji
376,Jun Fukuyama
377,Millie Bobby Brown
378,Paul Rudd
379,David Arquette
380,David Arquette
381,Idina Menzel
382,Mike Myers
383,Patton Oswalt
384,Nicky Whelan
385,Kelly Marie Tran
386,Jason Momoa
387,Iain Armitage
388,Ryan Reynolds
389,Frances McDormand
390,Gerard Butler
391,David Harbour
392,Jim Caviezel
393,Hugh Jackman
394,Keanu Reeves
395,Allison Janney
396,Benjamin Evan Ainsworth
397,Benjamin Evan Ainsworth
398,Benjamin Evan Ainsworth
399,Anouck Hautbois
400,Chris Pratt
401,Owen Wilson
402,Sara Wolfkind
403,Luke Evans
404,Reese Witherspoon
405,Ryunosuke Kamiki
406,Antonio Banderas
407,Kaori Nazuka
408,Vin Diesel
409,Ashley Madekwe
410,Maika Monroe
411,Ryan Gosling
412,Carl Wharton
413,Jenna Ortega
414,Chris Pratt
415,Scott Adkins
416,Marlon Brando
417,Ming-Na Wen
418,Ming-Na Wen
419,Michael Ironside
420,Scott Adsit
421,Harris Dickinson
422,Justin Whalin
423,Kevin Dillon
424,Haaz Sleiman
425,Amy Poehler
426,Pablito Calvo
427,Brad Pitt
428,Yeardley Smith
429,Will Smith
430,Scott Adkins
431,Viktor Horinyak
432,Josephine Langford
433,Yoo Ah-in
434,Zhao Jinmai
435,LeBron James
436,Bob Odenkirk
437,Sunny Pawar
438,Junko Takeuchi
439,David Howard Thornton
440,Debbon Ayer
441,Andrew Garfield
442,Jane Levy
443,Rodrigo Noya
444,Daniel Hendler
445,Jim Gaffigan
446,Josephine Langford
447,Montserrat Prous
448,Cillian Murphy
449,Kristen Stewart
450,Kristen Stewart
451,Louis Koo
452,Tom Holland
453,Chieko Baisho
454,Brad Pitt
455,Johnny Depp
456,Olga Kurylenko
457,Jay Baruchel
458,Radha Mitchell
459,Odessa A'zion
460,Charlie Hunnam
461,Daiki Yamashita
462,Josephine Langford
463,Josephine Langford
464,Bradley Cooper
465,Ryan Reynolds
466,Frank Welker
467,Martín Piroyansky
468,Daniel Stisen
469,David Spade
470,Joey King
471,Chiwetel Ejiofor
472,Chiwetel Ejiofor
473,Dwayne Johnson
474,Taissa Farmiga
475,Alex Ashbaugh
476,Jaime King
477,Cho Tae Ho
478,Lindsay Lohan
479,Machine Gun Kelly
480,Miia Harris
481,Vin Diesel
482,Patrick Wilson
483,Sofia Essaïdi
484,Bin Shimada
485,Leonardo DiCaprio
486,Kristen Bell
487,Shaylin Becton
488,David A.R. White
489,Tom Cruise
490,Val Kilmer
491,Alicia Silverstone
492,Bill Skarsgård
493,Jeffrey Dean Morgan
494,Ilene Woods
495,Ilene Woods
496,Elijah Wood
497,Joseph Simmons
498,Madison Pettis
499,Seo Won
500,Scarlett Johansson
501,Randy Couture
502,Dianna Agron
503,Billy Budinich
504,Albert Brooks
505,Jack Huston
506,Jack Huston
507,Ximena Lamadrid
508,Adam Sandler
509,Rei Akasaka
510,Chris Hemsworth
511,Jack Dylan Grazer
512,Chris Evans
513,Bruce Payne
514,Benedict Cumberbatch
515,Mark Wahlberg
516,Joo Won
517,Natsuki Hanae
518,Ben Affleck
519,Harrison Ford
520,Havana Rose Liu
521,Oscar Isaac
522,Brenton Thwaites
523,Timothée Chalamet
524,Timothée Chalamet
525,Sabrina Fest
526,Ed Asner
527,Johnny Depp
528,Andrew Garfield
529,Ray Romano
530,Fernando Ciangherotti
531,Olivia Okoro
532,Tom Hanks
533,Reggie Jackson
534,Nicholas Hoult
535,America Young
536,Adam Sandler
537,Taraji P. Henson
538,Kristen Stewart
539,Jamie Lee Curtis
540,Bartosz Bielenia
541,Natsuki Hanae
542,Chris Pine
543,Taylor James
544,Michael Parks
545,Ryan Reynolds
546,Dwayne Johnson
547,Mark Wahlberg
548,Erin Gray
549,Joseph Fiennes
550,Katia Pascariu
551,Manny Jacinto
552,Hong Ye-ji
553,Eli Jane
554,Lei Jiayin
555,Rumi Hiiragi
556,Malachi Barton
557,Rocky Morton
558,Madame Moreau
559,Milla Jovovich
560,Mark Wahlberg
561,Rea Rangaka
562,Gustavo Garzón
563,Diego Alonso
564,Ellen Burstyn
565,Masako Nozawa
566,Jamie Foxx
567,Chris Hemsworth
568,María Valverde
569,Jennifer Lawrence
570,Daniel Kaluuya
571,Will Smith
572,James Cameron
573,Michael Cera
574,Taron Egerton
575,Shin Sia
576,Liam Neeson
577,Elijah Wood
578,Chris Hemsworth
579,Danila Kozlovsky
580,Daiki Yamashita
581,Alex Kendrick
582,Jamie Foxx
583,Fabrice Josso
584,Dwayne Johnson
585,Fernando Guallar
586,Robert Pattinson
587,Angeli Khang
588,Kathleen Robertson
589,Jennifer Lawrence
590,Anna Faris
591,Christian Bale
592,Jennifer Garner
593,Tom Hanks
594,Tom Kenny
595,Anna Kendrick
596,Robert Downey Jr.
597,Noomi Rapace
598,Tom Hanks
599,Tom Hanks
600,Michael Chiklis
601,Liu Yifei
602,Liu Yifei
603,Mothusi Magano
604,Dakota Johnson
605,Chris Pratt
606,Paul Rudd
607,Joaquin Phoenix
608,Ryu Jun-yeol
609,Logan Lerman
610,Keanu Reeves
611,Marie Luciani-Grimaldi
612,Naomi Watts
613,Chris Evans
614,Jack Black
615,Guillaume Cyr
616,Pierre Deladonchamps
617,Jahzir Bruno
618,David Lee Smith
619,Tom Frederic
620,Rudy Youngblood
621,Pal Sinn Lap-man
622,Alison Brie
623,Sara Klimoska
624,Holly Mae Brood
625,Tom Hardy
626,Tom Hardy
627,Leonardo DiCaprio
628,Elijah Wood
629,Paco León
630,Clara Galle
631,Tang Wei
632,Christoph Waltz
633,James McAvoy
634,Daniel Craig
635,Chris Hemsworth
636,Anthony Aguirre
637,Rosa Salazar
638,Kelly Macdonald
639,Billy Crystal
640,Robert Downey Jr.
641,Adriana Caselotti
642,Linda Cardellini
643,Megan Fox
644,Megan Fox
645,Matt Ryan
646,Ian McKellen
647,Zoë Kravitz
648,Tom Holland
649,nan
650,Tom Hanks
651,Bradley Cooper
652,Joel Edgerton
653,Kevin Hart
654,John Cusack
655,Shawn Wayans
656,Matthias Schweighöfer
657,Masako Nozawa
658,Mark Hamill
659,Neve Campbell
660,Bradley Cooper
661,Ewan McGregor
662,Adriana Ugarte
663,Ana de la Reguera
664,Ashley Tisdale
665,Stephanie Sigman
666,Brad Pitt
667,Andy Serkis
668,Al Pacino
669,Gong Yoo
670,David Arquette
671,Tim Robbins
672,Paige O'Hara
673,Paige O'Hara
674,Arnold Schwarzenegger
675,Danielle Scott
676,Chadwick Boseman
677,Ben Affleck
678,Lewis MacDougall
679,Tobey Maguire
680,John Cena
681,Dan Castellaneta
682,Martin Sensmeier
683,Anna Faris
684,Daniel Radcliffe
685,Roberto Benigni
686,Teresa Palmer
687,Erica Leerhsen
688,Nicolas Cage
689,Nobunaga Shimazaki
690,Vera Farmiga
691,Demián Bichir
692,Keanu Reeves
693,Loletta Lee
694,Steve Carell
695,Andy Samberg
696,John Boyega
697,Isabela Merced
698,Hedy Lamarr
699,James Cameron
700,Estefania Piñeres
701,Brendan Fraser
702,Brendan Fraser
703,Freddie Prinze Jr.
704,Chris Pratt
705,Taron Egerton
706,Matt Damon
707,Brianna Cohen
708,Vin Diesel
709,Thomas Mann
710,Chloë Grace Moretz
711,Tony Goldwyn
712,Johnny Depp
713,Michael B. Jordan
714,Masako Nozawa
715,Ben Stiller
716,Kristen Stewart
717,Dave Bautista
718,Peyton List
719,Angelina Jolie
720,Bruce Campbell
721,Vin Diesel
722,Craig T. Nelson
723,Hsuan-yen Tsai
724,Lily James
725,Lily James
726,John C. Reilly
727,Denzel Washington
728,George MacKay
729,Jessica McNamee
730,Justin Cheung
731,Vin Diesel
732,Edoardo Pesce
733,Bradley Cooper
734,Jason Clarke
735,Ray Romano
736,François Cluzet
737,Judd Nelson
738,Jake Gyllenhaal
739,Masako Nozawa
740,Haley Bishop
741,Yūko Tanaka
742,Adam Sandler
743,Stephen Lang
744,Chris Pratt
745,Junko Takeuchi
746,Jun Shison
747,Jason Statham
748,Emily Baldoni
749,Michael Jai White
750,Mamoru Miyano
751,Chris Hemsworth
752,Mark Wahlberg
753,Valeria San Martin
754,Song Kang-ho
755,Gal Gadot
756,Dwayne Johnson
757,Masako Nozawa
758,Ginnifer Goodwin
759,Julian Maroun
760,Vin Diesel
761,Junko Takeuchi
762,Kensho Ono
763,Benoît Poelvoorde
764,Ben Burtt
765,Bruno Bichir
766,Colin Farrell
767,Ian McKellen
768,Jessica Chastain
769,Sandra Bullock
770,Mike Vogel
771,Samuel Hunt
772,Emily Blunt
773,Daveigh Chase
774,Sylvester Stallone
775,Oleg Chugunov
776,Keegan-Michael Key
777,Chris Connelly
778,Tini Stoessel
779,"Héctor ""El Father"""
780,Matthew Broderick
781,Dan Castellaneta
782,Brendan Fraser
783,Austin Butler
784,Mia Goth
785,Jesse Metcalfe
786,Almudena Amor
787,Jeffrey Hunter
788,Justin Timberlake
789,Park Hae-il
790,Liam Neeson
791,Dave Foley
792,Angelina Jolie
793,Will Smith
794,Tye Sheridan
795,Diana Angelson
796,Ezra Miller
797,Elena Anaya
798,Rica Matsumoto
799,Wongravee Nateetorn
800,Jean Dujardin
801,Taissa Farmiga
802,Junko Minagawa
803,Seth Rogen
804,Chad Michael Murray
805,Edward Norton
806,Tate Donovan
807,Tate Donovan
808,Aulia Sarah
809,Paul Bettany
810,Brigitte Lahaie
811,Haley Pullos
812,Ben Affleck
813,Willem Dafoe
814,Zach Galifianakis
815,Tom Hardy
816,Jay Baruchel
817,Josh Duhamel
818,Steve Carell
819,Nicole Marie Johnson
820,Noée Abita
821,Sam Worthington
822,John C. Reilly
823,Sandra Bullock
824,Dwayne Johnson
825,Lee Byung-hun
826,Charlotte Vega
827,Mia Wasikowska
828,Mia Wasikowska
829,Jonathan Hansler
830,Takeru Satoh
831,Joaquin Phoenix
832,Sofia Carson
833,Rain
834,Alberto Ammann
835,Eva Green
836,Jay Baruchel
837,David Arquette
838,Arnold Schwarzenegger
839,George Newbern
840,Philippe Bas
841,Yuria Kozuki
842,Henry Golding
843,Mackenyu
844,Masako Nozawa
845,Lyubov Aksyonova
846,Mauricio Ochmann
847,Emma Watson
848,Emma Watson
849,Kate del Castillo
850,Wataru Hatano
851,Alison Lohman
852,Aldis Hodge
853,Vinnie Jones
854,Dylan Sprouse
855,Chad Michael Collins
856,Russell Crowe
857,Mo'Nique
858,Jaden Smith
859,Jaden Smith
860,Kristen Stewart
861,Christian Bale
862,Rica Matsumoto
863,Sofia Kappel
864,Jessie Buckley
865,Gérard Darmon
866,Ray Romano
867,Sarah Yarkin
868,Anne Hathaway
869,Jun Fukushima
870,Adam Sandler
871,Kotaro Daigo
872,Chris Sarandon
873,Bradley Cooper
874,Jang Hyuk
875,Adam Sandler
876,Adam Sandler
877,Louis Koo
878,Jack Black
879,Rachel McAdams
880,Selena Gomez
881,Jonah Hill
882,Gael García Bernal
883,Mirai Shida
884,Matthew McConaughey
885,Matthew McConaughey
886,Jack Black
887,Ma Dong-seok
888,Emma Corrin
889,Matt Damon
890,Brian Hull
891,Will Smith
892,Will Smith
893,Bruce Reitherman
894,Bruce Reitherman
895,Miyu Irino
896,Yul Brynner
897,Craig T. Nelson
898,Florence Pugh
899,Olivia DeJonge
900,Hugh Jackman
901,David Cardoso
902,Jeremy Sisto
903,Arnold Schwarzenegger
904,John White
905,Laura Paredes
906,Armie Hammer
907,Jimmy Wong
908,Tobey Maguire
909,Tom Cruise
910,Bill Murray
911,Athena Chu
912,Oscar Isaac
913,Oscar Isaac
914,America Young
915,Scarlett Johansson
916,Jesse Eisenberg
917,Tom Kenny
918,Ryan Gosling
919,Omar Chaparro
920,Ha Jung-woo
921,Julianne Moore
922,Eddie Redmayne
923,Omar Chaparro
924,Eliza Dushku
925,Rainey Qualley
926,Storm Reid
927,Cole Hauser
928,Masako Nozawa
929,María Abadi
930,Pope Francis
931,He Shengming
932,Greg Kinnear
933,Jim Carrey
934,Ye Seul
935,Mae Whitman
936,Borisa Tyutyundzhieva
937,Tom McGrath
938,nan
939,Kaho Nakamura
940,Tom Hanks
941,Jesse Eisenberg
942,Antonio Banderas
943,Harrison Ford
944,Jason Biggs
945,Danielle Deadwyler
946,Anatoliy Belyy
947,Wasabi Mizuta
948,George Ackles
949,Olivia Cooke
950,Bug Hall
951,Chun Woo-hee
952,Jesse LaTourette
953,Anna Kendrick
954,Damián Alcázar
955,Benjamin Walker
956,Paolo Bonacelli
957,Anna Kendrick
958,Crystal Reed
959,Jason Statham
960,Marlon Wayans
961,James McAvoy
962,Zac Efron
963,Adrien Brody
964,Bethany Joy Lenz
965,Rica Matsumoto
966,John Travolta
967,Philippe A. Haddad
968,Jacob Latimore
969,Roma Gąsiorowska
970,Jason Biggs
971,Ted Neeley
972,Sharlto Copley
973,Kirk Cameron
974,Miho Okasaki
975,Jun Jong-seo
976,Lyota Majima
977,Max von Sydow
978,Marlon Wayans
979,Brad Pitt
980,Ran Masaki
981,Barrie Wentzell
982,Leonardo DiCaprio
983,Isobel Estoppey
984,Masey McLain
985,Jaeden Martell
986,Georgina Campbell
987,Masako Nozawa
988,Taylor Kitsch
989,Ed Helms
990,Donnie Dunagan
991,Miles Teller
992,Seeman
993,Jennifer Hale
994,Henry Cavill
995,Kate Siegel
996,Yuichiro Umehara
997,Nicolas Cage
998,Josh Hutcherson
999,Gerard Butler
1000,Julián Gil
1001,Ginger Lynn Allen
1002,Hugh Jackman
1003,Michael J. Fox
1004,Carrie Fisher
1005,Haruma Miura
1006,Luis Tosar
1007,Sol Kyung-gu
1008,Dwayne Johnson
1009,Michelle Williams
1010,Will Smith
1011,Kyle Chandler
1012,Jamie Lee Curtis
1013,Ha Jung-woo
1014,Ky Baldwin
1015,Gael García Bernal
1016,Masako Nozawa
1017,Sylvester Stallone
1018,Judy Garland
1019,Ray Romano
1020,Jeremy Irons
1021,Jeremy Irons
1022,Ata Demirer
1023,Kevin Hart
1024,Elizabeth Taylor
1025,Ray Wise
1026,Dennis Quaid
1027,James Franco
1028,Jacob Tremblay
1029,Margot Robbie
1030,Sylvester Stallone
1031,D.B. Sweeney
1032,Noah Ringer
1033,Isarco Ravaioli
1034,Karen Abercrombie
1035,Anouck Hautbois
1036,Jennifer Pudavick
1037,Diana Kaarina
1038,Haruma Miura
1039,Chloe Bailey
1040,Dylan O'Brien
1041,Rod Taylor
1042,Masako Nozawa
1043,Masako Nozawa
1044,Kali Reis
1045,Tom Skerritt
1046,Langley Kirkwood
1047,Alexey Navalny
1048,Willem Dafoe
1049,Jason Biggs
1050,Marie Maser
1051,Martin Lawrence
1052,Monica Bellucci
1053,Jackie Chan
1054,Ma Dong-seok
1055,Mark Wahlberg
1056,Al Pacino
1057,Anna Faris
1058,Sarah Drew
1059,Adam Sandler
1060,Georgie Henley
1061,Gina Philips
1062,Kate Bosworth
1063,Rob Schneider
1064,Johnny Depp
1065,Annabelle Wallis
1066,Clive Standen
1067,Jemima Rooper
1068,Scott Adkins
1069,Ben Stiller
1070,Jamie Foxx
1071,Tara Strong
1072,Aisling Loftus
1073,Mark Wahlberg
1074,Anna Faris
1075,Al Pacino
1076,John David Washington
1077,Brie Larson
1078,Dickie Jones
1079,Dickie Jones
1080,Dickie Jones
1081,Erika Linder
1082,Lucy Hale
1083,Jack Dylan Grazer
1084,Liam Neeson
1085,Emily Bader
1086,Kotono Mitsuishi
1087,Jonah Hill
1088,Christian Bale
1089,Nicolas Cage
1090,Aldis Hodge
1091,Petra van Hoven
1092,Santiago Segura
1093,Marisa Tomei
1094,Dylan O'Brien
1095,Junko Takeuchi
1096,Denzel Washington
1097,Kim Da-mi
1098,Tony Jaa
1099,Andy Allo
1100,Jacob Perez
1101,Ben Schwartz
1102,Ben Stiller
1103,Aju Makita
1104,Sylvester Stallone
1105,Melha Bedia
1106,Petrônio Gontijo
1107,Cary Elwes
1108,Qing Guo
1109,Liam Neeson
1110,Michael Fassbender
1111,Laura Linney
1112,Jake Gyllenhaal
1113,Nathan Lane
1114,Guillermo Francella
1115,Kensho Ono
1116,Isla Fisher
1117,María Valverde
1118,Sid Lucero
1119,Chloë Grace Moretz
1120,Kristina Klebe
1121,Dwayne Johnson
1122,Kenjiro Tsuda
1123,James Corden
1124,Jennifer Lawrence
1125,Daniel Kaluuya
1126,Pedro Pascal
1127,Will Smith
1128,Gakuto Kajiwara
1129,Wi Ha-jun
1130,María Mercedes Coroy
1131,Will Smith
1132,Scott Weinger
1133,Scott Weinger
1134,Rei Akasaka
1135,Kathryn Beaumont
1136,Kathryn Beaumont
1137,Rupert Friend
1138,Jesse Metcalfe
1139,Courtney Loggins
1140,Toru Furuya
1141,Jessica Chastain
1142,Hong Beom-gi
1143,Iko Uwais
1144,Alexander Skarsgård
1145,Oris Erhuero
1146,John White
1147,Sydney Thomas
1148,Harriet MacMasters-Green
1149,Kevin Sorbo
1150,Carter O’Donnell
1151,Joseph Fiennes
1152,Keira Knightley
1153,Jim Carrey
1154,Jennifer Lawrence
1155,Matt Damon
1156,Tom Hanks
1157,Sara Paxton
1158,Jennifer Aniston
1159,Emily Blunt
1160,Junko Takeuchi
1161,Ahn Min-sang
1162,John Travolta
1163,Hugh Jackman
1164,James Stewart
1165,Christian Bale
1166,Sofia Scalia
1167,Seth MacFarlane
1168,Dacre Montgomery
1169,Andy Serkis
1170,Oliver Goodwill
1171,Jordan Tartakow
1172,Kaycie Chase
1173,Harrison Ford
1174,Miki Takakura
1175,Elisha Cuthbert
1176,Mark Hamill
1177,Kat Graham
1178,Sylvester Stallone
1179,Ruby Rose
1180,Arnold Schwarzenegger
1181,Elijah Wood
1182,Boyd Holbrook
1183,Dwayne Johnson
1184,Dwayne Johnson
1185,Kelly Sheridan
1186,Jackie Chan
1187,Vera Farmiga
1188,Todd Armstrong
1189,Christina Ricci
1190,Jodie Comer
1191,Alex Kendrick
1192,Charlotte Gainsbourg
1193,Asa Butterfield
1194,Adrien Brody
1195,Jacinto Montes de Oca
1196,Sora Amamiya
1197,Neal McDonough
1198,Germán de Silva
1199,Chris Pine
1200,Travis Fimmel
1201,Mara Wilson
1202,Chris Evans
1203,David Harbour
1204,David Harbour
1205,Edward Norton
1206,Justice Smith
1207,Tom Cruise
1208,Radha Mitchell
1209,Daniel Craig
1210,Mae Whitman
1211,Jim Carrey
1212,Yuuki Nomura
1213,Imogen Poots
1214,Aaron Eckhart
1215,Kevin Sorbo
1216,Kelly Sheridan
1217,Tom Pelphrey
1218,Bobby Driscoll
1219,Bobby Driscoll
1220,Virginie Efira
1221,Robert Taylor
1222,Dong Haoran
1223,Min Jung
1224,Frank Grillo
1225,Masako Nozawa
1226,Jackie Chan
1227,Jason Biggs
1228,Mayumi Tanaka
1229,Gerard Butler
1230,Anjelica Huston
1231,Keesha Sharp
1232,Sam Worthington
1233,Sam Worthington
1234,Tom Stourton
1235,Jason Momoa
1236,Adam Greaves-Neal
1237,Gal Gadot
1238,Kate Bosworth
1239,Adam Sandler
1240,Patrick Wilson
1241,Jackie Chan
1242,Josh Gad
1243,Ansel Elgort
1244,Tom Hiddleston
1245,Dove Cameron
1246,Macaulay Culkin
1247,Manang Medina
1248,Tye Sheridan
1249,Yana Enzhaeva
1250,Mario Casas
1251,Haley Lu Richardson
1252,Lou Taylor Pucci
1253,Ben Affleck
1254,Jordan Rodrigues
1255,Brad Pitt
1256,Graham Chapman
1257,Sylvester Stallone
1258,Vin Diesel
1259,Samara Weaving
1260,Jake Gyllenhaal
1261,Adam Sandler
1262,Mitsu Dan
1263,Anne Hathaway
1264,Charlotte Gainsbourg
1265,Diana Kaarina
1266,Barbara Luddy
